,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,City,Population
0,FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,49,1999,Medium,Tier 1,Supermarket Type1,3735.138,Hamilton,747545
1,DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,18,2009,Medium,Tier 3,Supermarket Type2,443.4228,Missisauga,713443
2,FDN15,17.5,Low Fat,0.016760075,Meat,141.618,49,1999,Medium,Tier 1,Supermarket Type1,2097.27,Hamilton,747545
3,FDX07,19.2,Regular,0.0,Fruits and Vegetables,182.095,10,1998,Small,Tier 3,Grocery Store,732.38,Waterloo,104986
4,NCD19,8.93,Low Fat,0.0,Household,53.8614,13,1987,High,Tier 2,Supermarket Type1,994.7052,Brampton,593638
5,FDP36,10.395,Regular,0.0,Baking Goods,51.4008,18,2009,Medium,Tier 3,Supermarket Type2,556.6088,Missisauga,713443
6,FDO10,13.65,Regular,0.012741088999999999,Snack Foods,57.6588,13,1987,High,Tier 2,Supermarket Type1,343.5528,Brampton,593638
7,FDP10,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.127469857,Snack Foods,107.7622,27,1985,Medium,Tier 1,Supermarket Type3,4022.7636,Toronto,2731571
8,FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,45,2002,Small,Tier 1,Supermarket Type1,1076.5986,Kingston,123798
9,FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,17,2007,Small,Tier 2,Supermarket Type1,4710.535,Windsor,329144
10,FDY07,11.8,Low Fat,0.0,Fruits and Vegetables,45.5402,49,1999,Medium,Tier 1,Supermarket Type1,1516.0266,Hamilton,747545
11,FDA03,18.5,Regular,0.045463773,Dairy,144.1102,46,1997,Small,Tier 1,Supermarket Type1,2187.153,London,383822
12,FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,49,1999,Medium,Tier 1,Supermarket Type1,1589.2646,Hamilton,747545
13,FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,46,1997,Small,Tier 1,Supermarket Type1,2145.2076,London,383822
14,FDF32,16.35,Low Fat,0.06802430000000001,Fruits and Vegetables,196.4426,13,1987,High,Tier 2,Supermarket Type1,1977.4260000000002,Brampton,593638
15,FDP49,9.0,Regular,0.06908896099999999,Breakfast,56.3614,46,1997,Small,Tier 1,Supermarket Type1,1547.3192,London,383822
16,NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,18,2009,Medium,Tier 3,Supermarket Type2,1621.8888,Missisauga,713443
17,FDP49,9.0,Regular,0.06919637599999999,Breakfast,54.3614,49,1999,Medium,Tier 1,Supermarket Type1,718.3982,Hamilton,747545
18,DRI11,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.034237682,Hard Drinks,113.2834,27,1985,Medium,Tier 1,Supermarket Type3,2303.6679999999997,Toronto,2731571
19,FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,35,2004,Small,Tier 2,Supermarket Type1,2748.4224,Ottawa,1323783
20,FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,13,1987,High,Tier 2,Supermarket Type1,3775.086,Brampton,593638
21,FDW12,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Regular,0.035399923,Baking Goods,144.5444,27,1985,Medium,Tier 1,Supermarket Type3,4064.0432,Toronto,2731571
22,NCB30,14.6,Low Fat,0.025698133999999997,Household,196.5084,35,2004,Small,Tier 2,Supermarket Type1,1587.2672,Ottawa,1323783
23,FDC37,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.057556998,Baking Goods,107.6938,19,1985,Small,Tier 2,Grocery Store,214.3876,Barrie,197059
24,FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,46,1997,Small,Tier 1,Supermarket Type1,4078.025,London,383822
25,NCD06,13.0,Low Fat,0.099887103,Household,45.906000000000006,17,2007,Small,Tier 2,Supermarket Type1,838.908,Windsor,329144
26,FDV10,7.645,Regular,0.06669343700000001,Snack Foods,42.3112,35,2004,Small,Tier 2,Supermarket Type1,1065.28,Ottawa,1323783
27,DRJ59,11.65,low fat,0.019356131999999998,Hard Drinks,39.1164,13,1987,High,Tier 2,Supermarket Type1,308.9312,Brampton,593638
28,FDE51,5.925,Regular,0.161466534,Dairy,45.5086,10,1998,Small,Tier 3,Grocery Store,178.4344,Waterloo,104986
29,FDC14,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Regular,0.072221801,Canned,43.6454,19,1985,Small,Tier 2,Grocery Store,125.8362,Barrie,197059
30,FDV38,19.25,Low Fat,0.17034855100000001,Dairy,55.7956,10,1998,Small,Tier 3,Grocery Store,163.7868,Waterloo,104986
31,NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,18,2009,Medium,Tier 3,Supermarket Type2,2741.7644,Missisauga,713443
32,FDP33,18.7,Low Fat,0.0,Snack Foods,256.6672,18,2009,Medium,Tier 3,Supermarket Type2,3068.0064,Missisauga,713443
33,FDO23,17.85,Low Fat,0.0,Breads,93.1436,45,2002,Small,Tier 1,Supermarket Type1,2174.5028,Kingston,123798
34,DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,46,1997,Small,Tier 1,Supermarket Type1,2085.2856,London,383822
35,NCX29,10.0,Low Fat,0.08929113699999999,Health and Hygiene,146.7102,49,1999,Medium,Tier 1,Supermarket Type1,3791.0652,Hamilton,747545
36,FDV20,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Regular,0.059511812000000004,Fruits and Vegetables,128.0678,27,1985,Medium,Tier 1,Supermarket Type3,2797.6916,Toronto,2731571
37,DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,18,2009,Medium,Tier 3,Supermarket Type2,1609.9044,Missisauga,713443
38,FDX10,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Regular,0.12311145300000001,Snack Foods,36.9874,27,1985,Medium,Tier 1,Supermarket Type3,388.1614,Toronto,2731571
39,FDB34,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.026480953999999998,Snack Foods,87.6198,27,1985,Medium,Tier 1,Supermarket Type3,2180.495,Toronto,2731571
40,FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,46,1997,Small,Tier 1,Supermarket Type1,3435.528,London,383822
41,FDK43,9.8,Low Fat,0.02681843,Meat,126.00200000000001,13,1987,High,Tier 2,Supermarket Type1,2150.534,Brampton,593638
42,FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,49,1999,Medium,Tier 1,Supermarket Type1,2527.3768,Hamilton,747545
43,FDC02,21.35,Low Fat,0.06910283099999999,Canned,259.9278,18,2009,Medium,Tier 3,Supermarket Type2,6768.5228,Missisauga,713443
44,FDL50,12.15,Regular,0.042277867000000004,Canned,126.5046,13,1987,High,Tier 2,Supermarket Type1,373.5138,Brampton,593638
45,FDM39,6.42,LF,0.08949892599999999,Dairy,178.1002,10,1998,Small,Tier 3,Grocery Store,358.2004,Waterloo,104986
46,NCP05,19.6,Low Fat,0.0,Health and Hygiene,153.3024,45,2002,Small,Tier 1,Supermarket Type1,2428.8384,Kingston,123798
47,FDV49,10.0,Low Fat,0.025879577,Canned,265.2226,45,2002,Small,Tier 1,Supermarket Type1,5815.0972,Kingston,123798
48,FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,46,1997,Small,Tier 1,Supermarket Type1,2576.646,London,383822
49,FDS02,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Regular,0.25539489600000004,Dairy,196.8794,19,1985,Small,Tier 2,Grocery Store,780.3176,Barrie,197059
50,NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,46,1997,Small,Tier 1,Supermarket Type1,3134.5864,London,383822
51,FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,13,1987,High,Tier 2,Supermarket Type1,850.8924,Brampton,593638
52,FDR13,9.895,Regular,0.028696932,Canned,117.0492,13,1987,High,Tier 2,Supermarket Type1,810.9444,Brampton,593638
53,FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,17,2007,Small,Tier 2,Supermarket Type1,3121.2704,Windsor,329144
54,NCP18,12.15,Low Fat,0.028760012999999997,Household,151.4708,17,2007,Small,Tier 2,Supermarket Type1,4815.0656,Windsor,329144
55,FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,18,2009,Medium,Tier 3,Supermarket Type2,6258.52,Missisauga,713443
56,NCX54,9.195,Low Fat,0.048157338,Household,106.1622,45,2002,Small,Tier 1,Supermarket Type1,2117.244,Kingston,123798
57,DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,49,1999,Medium,Tier 1,Supermarket Type1,796.9626,Hamilton,747545
58,FDY21,15.1,Low Fat,0.17348130399999998,Snack Foods,194.511,46,1997,Small,Tier 1,Supermarket Type1,4910.275,London,383822
59,FDI26,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.061082177,Canned,180.0344,19,1985,Small,Tier 2,Grocery Store,892.172,Barrie,197059
60,FDM20,10.0,Low Fat,0.0,Fruits and Vegetables,246.9144,18,2009,Medium,Tier 3,Supermarket Type2,3185.1872,Missisauga,713443
61,FDV27,7.97,Regular,0.040071131,Meat,87.3514,45,2002,Small,Tier 1,Supermarket Type1,1062.6168,Kingston,123798
62,FDF09,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.012090074,Fruits and Vegetables,38.2848,27,1985,Medium,Tier 1,Supermarket Type3,484.7024,Toronto,2731571
63,FDY40,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Regular,0.15028599,Frozen Foods,51.0692,19,1985,Small,Tier 2,Grocery Store,147.8076,Barrie,197059
64,FDY45,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.026015518999999997,Snack Foods,255.8356,27,1985,Medium,Tier 1,Supermarket Type3,2543.356,Toronto,2731571
65,FDC46,17.7,LF,0.195068226,Snack Foods,185.4266,10,1998,Small,Tier 3,Grocery Store,184.4266,Waterloo,104986
66,FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,35,2004,Small,Tier 2,Supermarket Type1,4865.6664,Ottawa,1323783
67,FDZ03,13.65,Regular,0.078946455,Dairy,186.024,45,2002,Small,Tier 1,Supermarket Type1,1118.5439999999999,Kingston,123798
68,DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,45,2002,Small,Tier 1,Supermarket Type1,2302.3364,Kingston,123798
69,NCI17,8.645,Low Fat,0.14342264300000002,Health and Hygiene,95.84100000000001,46,1997,Small,Tier 1,Supermarket Type1,2027.361,London,383822
70,FDJ58,15.6,Regular,0.10529607199999999,Snack Foods,170.1764,46,1997,Small,Tier 1,Supermarket Type1,3435.528,London,383822
71,FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,13,1987,High,Tier 2,Supermarket Type1,599.22,Brampton,593638
72,FDH35,18.25,Low Fat,0.0,Starchy Foods,164.7526,45,2002,Small,Tier 1,Supermarket Type1,4604.6728,Kingston,123798
73,FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,17,2007,Small,Tier 2,Supermarket Type1,2285.0256,Windsor,329144
74,NCZ18,7.825,low fat,0.186357148,Household,254.3698,49,1999,Medium,Tier 1,Supermarket Type1,5580.7356,Hamilton,747545
75,FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,46,1997,Small,Tier 1,Supermarket Type1,2290.3520000000003,London,383822
76,FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,49,1999,Medium,Tier 1,Supermarket Type1,1207.0954,Hamilton,747545
77,FDN48,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.113720344,Baking Goods,89.9804,19,1985,Small,Tier 2,Grocery Store,643.1628,Barrie,197059
78,FDL04,19.0,Low Fat,0.11255650699999999,Frozen Foods,104.9622,17,2007,Small,Tier 2,Supermarket Type1,1587.933,Windsor,329144
79,FDV25,5.905,Low Fat,0.0,Canned,222.5456,45,2002,Small,Tier 1,Supermarket Type1,5305.0944,Kingston,123798
80,FDD58,7.76,Low Fat,0.05935224099999999,Snack Foods,101.87,46,1997,Small,Tier 1,Supermarket Type1,1697.79,London,383822
81,FDN04,11.8,reg,0.014087057,Frozen Foods,180.3344,46,1997,Small,Tier 1,Supermarket Type1,1427.4752,London,383822
82,FDV45,16.75,low fat,0.045230944,Snack Foods,187.9556,18,2009,Medium,Tier 3,Supermarket Type2,4693.89,Missisauga,713443
83,NCL18,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.293417759,Household,194.6136,19,1985,Small,Tier 2,Grocery Store,583.2408,Barrie,197059
84,FDR12,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Regular,0.031382044,Baking Goods,171.3764,27,1985,Medium,Tier 1,Supermarket Type3,3091.9752,Toronto,2731571
85,FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,17,2007,Small,Tier 2,Supermarket Type1,2479.4392,Windsor,329144
86,FDZ55,6.055,Low Fat,0.025403897999999998,Fruits and Vegetables,160.99200000000002,35,2004,Small,Tier 2,Supermarket Type1,2716.4640000000004,Ottawa,1323783
87,FDQ49,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Regular,0.039057677,Breakfast,155.963,27,1985,Medium,Tier 1,Supermarket Type3,3285.723,Toronto,2731571
88,FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,46,1997,Small,Tier 1,Supermarket Type1,661.8052,London,383822
89,FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,49,1999,Medium,Tier 1,Supermarket Type1,1523.3504,Hamilton,747545
90,FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.17299999999999,10,1998,Small,Tier 3,Grocery Store,369.519,Waterloo,104986
91,DRG27,8.895,Low Fat,0.10527411099999999,Dairy,39.9138,49,1999,Medium,Tier 1,Supermarket Type1,690.4346,Hamilton,747545
92,DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,45,2002,Small,Tier 1,Supermarket Type1,1381.535,Kingston,123798
93,FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,35,2004,Small,Tier 2,Supermarket Type1,622.523,Ottawa,1323783
94,NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,35,2004,Small,Tier 2,Supermarket Type1,1274.3412,Ottawa,1323783
95,FDU04,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.009714595,Frozen Foods,120.0414,19,1985,Small,Tier 2,Grocery Store,487.3656,Barrie,197059
